"Organisation","ID","Easting","Northing","LAT","LONG"
"BRC project team","Outfall (COLE, Dingles)",409750,280623,52.4235100589959,-1.85804997724953
"Friends of Senneleys Park","Outfall (BARTLEY, Senneleys)",401524,280185,52.4196554838898,-1.97901738771526
"Friends of Leyhill Park","Outfall (STONE, Ley Hill)",401083,282167,52.4374746940834,-1.98549610614073
